stim,estimate,RT
3,38.4166666666667,2.87546651784396
2,43.5,5.90648517000409
1,57.9166666666667,2.62495322526411
2,71.5,1.92628087934281
3,45,1.62443619070837
4,28.6666666666667,2.06537600472075
1,79.8333333333333,2.21557261897942
1,71.9166666666667,3.68030095647555
3,52.8333333333333,2.78836538875476
2,62.9166666666667,3.88284800661495
4,44.25,2.27244995173533
1,78.5,4.46935972810024
2,59.25,5.1699520398397
4,45.4166666666667,2.84885526372818
3,62.3333333333333,2.49821188574424
1,52.8333333333333,4.70299155806424
3,46.3333333333333,3.24176952731796
2,55.5833333333333,3.2642089544679
4,36.8333333333333,2.32444022595882
1,54.0833333333333,1.52745071053505
4,34.5,1.88563215115573
2,54.25,1.62368164386135
3,46.4166666666667,1.4111123807379
4,41.0833333333333,5.48810414247782
1,33.5833333333333,5.59668439295456
3,73.6666666666667,2.59621696634531
2,78.8333333333333,2.36403808692921
4,40.9166666666667,4.27187507350391
3,68.3333333333333,3.00515024579545
1,32.25,3.85123560139982
2,78.1666666666667,3.97052047717625
2,78.6666666666667,2.98545717358866
1,61.9166666666667,2.21361396036082
4,43.5,2.23442449435242
3,68.0833333333333,2.73363782349406
1,47.5,1.69385695377241
3,65.6666666666667,5.16571705936076
2,84.9166666666667,3.05201436064453
4,10.4166666666667,1.92106819595938
3,41.75,3.56316721485928
2,80.8333333333333,6.56058569415472
1,70.9166666666667,3.94693495915271
4,44.5833333333333,1.86509575205855
2,81.8333333333333,10.024671593681
3,51.6666666666667,4.06285760761239
1,70.9166666666667,6.19491302920505
4,42.6666666666667,5.11223106272519
4,46,2.28114982880652
3,41,2.01495633763261
1,71,3.19731330731884
2,81.3333333333333,2.76416043867357
4,46.3333333333333,3.66345341061242
3,41.0833333333333,2.6977363282349
1,61.5,3.23016233067028
2,79.8333333333333,2.814544767607
3,29.75,12.761930165696
1,56.25,2.59651589242276
4,29.9166666666667,8.22031144920038
2,66.3333333333333,2.47723952948581
3,29.9166666666667,6.00302293716231
2,69.5,3.03893415722996
1,50.0833333333333,2.8447819930152
4,30.5,2.65496700949734
1,51.1666666666667,3.99361309444066
3,27.5833333333333,2.71763962553814
4,35.1666666666667,3.7177984668524
2,63.75,1.89926667686086
2,65.5,1.58426282613073
1,48.5,1.60666546149878
4,29.75,4.01798231946304
3,29.5,4.61843846633565
4,34.5833333333333,6.86040970287286
2,80,14.9364465961698
3,59.9166666666667,5.4786487550009
1,80,8.82574132573791
2,79.8333333333333,4.24618533719331
3,59.8333333333333,2.73072976176627
4,29.8333333333333,4.67922041635029
1,69.5833333333333,4.17959931166843
3,69.9166666666667,4.37957837968133
1,80,3.06415402027778
2,82.4166666666667,2.36450242903084
4,29.6666666666667,2.18147373152897
2,82.4166666666667,7.64326510787942
3,71,5.07827233942226
4,32.75,2.24796165968291
1,79.8333333333333,5.16226968145929
1,99.75,2.16977444890654
2,49.9166666666667,13.8144107607659
4,44.3333333333333,5.99974387284601
3,35,3.99152480909834
1,64.4166666666667,8.73791824519867
4,44.8333333333333,7.40396912180586
2,54.0833333333333,5.17297214688733
3,44.5,4.0353593439213
3,39.6666666666667,2.2174600888975
2,54.75,5.09066476667067
4,44.6666666666667,4.02727824921021
1,69.8333333333333,3.87701156217372
1,69.75,3.16754784074146
4,39.75,7.76645767304581
2,54.75,3.47709377756109
3,39.5833333333333,2.23661196132889
2,65.3333333333333,5.63361842482209
1,84.8333333333333,2.26661675498599
3,54.0833333333333,2.44170126604786
4,44.3333333333333,2.47521488774601
4,41.5,4.10827879113731
2,68.4166666666667,2.57506096171983
1,88.1666666666667,2.5081928046784
3,60.9166666666667,3.46649763979167
4,50.5833333333333,4.20028572821502
3,57.9166666666667,2.09155961361921
1,83.8333333333333,3.54997549556902
2,67.75,2.699922367
1,90.4166666666667,2.83360479699513
4,28.8333333333333,2.30829481381352
3,60.3333333333333,6.2582521769591
2,75.0833333333333,2.4585544410329
3,66.5,6.70824760108917
2,61.25,5.91683119369736
1,43.6666666666667,2.93336277476374
4,42.8333333333333,2.27509366280356
2,65.75,6.06667913508318
4,35.0833333333333,1.92508743334656
1,42.1666666666667,4.35862996428477
3,71.5833333333333,4.1082668168965
4,36.6666666666667,2.45841274584018
1,51.9166666666667,3.78329302480597
3,73.9166666666667,6.70860141142111
2,75.9166666666667,1.64151600742298
2,74.9166666666667,2.27489694311771
3,70.9166666666667,2.13326105072883
4,41,2.08328854871979
1,40.8333333333333,2.32495668603042
3,60.4166666666667,4.89970061544773
1,70.3333333333333,3.79992553162083
4,31,2.13329298204008
2,61,2.23334404362686
3,58.5,4.25000819665365
4,31.1666666666667,1.74998039930688
1,70.75,1.93333027325025
2,59.8333333333333,2.12497487547444
3,59.25,1.59994856778212
