stim,estimate,RT
1,55.6666666666667,2.19586510310182
2,63.8333333333333,1.73165268165758
3,55.5833333333333,1.76764279173221
4,45.9166666666667,1.89010411710478
2,52.6666666666667,4.48180948878871
4,34.4166666666667,2.56222280161455
1,45.9166666666667,3.31621479446767
3,44.5,2.06938074185746
3,64.75,2.08168828830821
4,24.5,4.52383839793038
1,72.5,2.06607514503412
2,62.1666666666667,2.04194825032027
3,67.6666666666667,3.78386582899839
4,33.5833333333333,2.59870641637826
1,39.6666666666667,4.25392247765558
2,61,3.49173618480563
3,71.9166666666667,2.28840341867181
2,32.0833333333333,4.24524528597249
4,50.75,2.4324869698612
1,58.25,4.65479649387999
2,60.3333333333333,12.6382162088994
3,39.3333333333333,1.69833439216018
1,40.1666666666667,2.68071557604708
4,30.0833333333333,5.24518212140538
4,30.0833333333333,2.7808850761503
2,60,1.94816609541886
1,58,2.39762459229678
3,39.5833333333333,2.16470533329993
2,60,2.46431199670769
3,39.6666666666667,3.81341282231733
4,34.5,2.94729306804948
1,60.25,2.68093875609338
3,30.5,2.74748029117472
1,60.25,2.16432862589136
2,60,1.84823509166017
4,39.8333333333333,1.94807966798544
1,79.9166666666667,11.8058910751715
3,59.9166666666667,4.36264186701737
2,94.6666666666667,2.31498930393718
4,31,1.99770985310897
1,80.1666666666667,4.84529983787797
4,49.8333333333333,1.76492297020741
3,63.75,1.59838551934808
2,95.1666666666667,2.28148022270761
1,79.6666666666667,2.58062448073179
2,96,2.16455435869284
3,61.0833333333333,1.88180397939868
4,51.0833333333333,1.44849284272641
3,50.1666666666667,1.73142045293935
1,81.0833333333333,3.41330298269168
4,51.1666666666667,1.84804290882312
2,94.0833333333333,2.1315820759628
2,75.5833333333333,12.155399824449
3,44.9166666666667,7.87625296706392
1,64.8333333333333,6.39445210051781
4,45.0833333333333,10.357730004951
3,34.6666666666667,2.48089939760393
4,49.8333333333333,4.64541674887005
1,65.5,3.29736841817794
2,75.4166666666667,4.34629535287968
3,35.9166666666667,1.96470377154765
2,79,1.93159192777239
4,43,2.1984230857779
1,65.8333333333333,3.36364935922029
3,36.25,5.27838068171695
1,65.3333333333333,4.3630706249096
4,45.8333333333333,2.98054001345008
2,79.0833333333333,2.78119868382055
4,59.75,11.6894071200804
2,59.5833333333333,3.2639549907326
1,69,2.58092087677505
3,48,2.03126988602162
1,68.9166666666667,2.49746790067002
4,50.3333333333333,1.5982289344538
3,48,2.94716524123214
2,58.1666666666667,1.49852435516368
2,59.0833333333333,1.69824494354543
3,49.4166666666667,1.26516314873879
4,49.75,1.3489009335899
1,72.3333333333333,1.89793599351833
3,49.4166666666667,2.56473929059575
2,58.25,4.26292661597836
1,74.0833333333333,2.93089868649258
4,50.0833333333333,1.53181488816335
1,39.5,4.59614446989144
4,50.6666666666667,1.98144512910221
3,29.1666666666667,2.51447802141774
2,60.5,2.13159768958576
2,70.0833333333333,1.58182818045316
1,34.8333333333333,2.0980752252508
3,22.0833333333333,5.11200642114272
4,38.75,2.86425125019741
2,68.1666666666667,2.74741438505589
4,37.9166666666667,1.44884473766433
1,31.1666666666667,1.71496770283557
3,31.8333333333333,2.01492492682883
1,21.25,3.11420903941325
4,39.6666666666667,3.67962552572135
2,72.6666666666667,2.01469408950652
3,26.9166666666667,8.89231020012812
2,57.1666666666667,11.2723216581217
4,38.6666666666667,3.38006871147081
1,52.3333333333333,2.34805635346856
3,37.4166666666667,2.21452626750397
2,62.75,2.63104101792851
3,37.6666666666667,4.0959812791989
1,52.5833333333333,2.39792414168187
4,38.1666666666667,1.91466786959791
1,65.75,1.48170313445735
3,46.75,1.48228916220251
4,50.25,1.88218326147762
2,64.9166666666667,4.11334768439701
1,57.8333333333333,1.58162177616032
2,65.5,1.68172749453515
3,44.3333333333333,2.76419439783785
4,38.0833333333333,1.63172113102337
1,65,9.84111026546452
2,71.5,4.1131770179345
4,62.6666666666667,5.26173231551365
3,48.75,4.71318737461115
3,68.6666666666667,8.57615060366516
1,74.5833333333333,1.73169702620362
4,68.1666666666667,27.89170046871
2,73.75,1.83142421516823
1,64.0833333333333,3.6299411674845
4,67.8333333333333,2.58120969691663
3,50.25,5.37820377938624
2,75,2.21462071752467
1,64.6666666666667,3.56353696734004
4,44.8333333333333,19.3328743329621
3,56.25,6.027824101242
2,72.9166666666667,5.61240482519497
4,46.75,21.4002251709023
2,60.75,3.34186262921389
1,36.1666666666667,16.4000335846192
3,25.8333333333333,4.28332304127252
3,25.5,7.81652619856891
4,44.6666666666667,5.78350635969537
2,64.5833333333333,2.17528462822293
1,34.6666666666667,3.1753710131095
2,64.5,1.65844328162211
3,23.0833333333333,3.09171594596592
4,47.6666666666667,6.30013302702332
1,39.9166666666667,2.00026200564616
4,49,2.82487474191453
2,67.4166666666667,2.45853525444204
3,19.1666666666667,1.72484104325576
1,31.0833333333333,4.15026408686595
3,55.8333333333333,7.9002314430727
4,44.6666666666667,3.22496791214871
2,64.8333333333333,9.15027691630439
1,69.9166666666667,2.39999224531675
3,55.8333333333333,3.16657857118844
2,64.8333333333333,1.76664220520342
4,44.6666666666667,2.40026850589493
1,69.9166666666667,2.40029473496998
1,69.9166666666667,2.38326835935368
3,55.8333333333333,4.92503673495958
4,44.6666666666667,53.8912314493446
2,65,18.7000009693356
2,64.8333333333333,2.85833676877155
4,44.6666666666667,13.8334023272027
1,69.9166666666667,8.35855173314303
3,55.8333333333333,11.133598931222
4,40,9.00880062690703
3,49.6666666666667,6.21119024901418
1,60.25,1.93190591025632
2,64.75,5.22797463776078
2,64.75,1.89838235190837
3,49.9166666666667,2.93072036193917
1,54.5,5.19525518099545
4,39.9166666666667,2.41471327125328
4,40,1.59866982273525
3,49.6666666666667,2.19779037998524
1,54,2.41483835369581
2,60.0833333333333,3.06382268777816
4,40,2.13182159810094
2,60.0833333333333,3.11380717094289
3,54.5,2.38152630504919
1,49.9166666666667,1.98154213186353
4,40.1666666666667,21.4144098642282
2,59.75,15.2026095191832
3,40.0833333333333,23.8619450651458
1,74.5,8.05943641415797
2,60.0833333333333,3.81363479053834
3,44.0833333333333,7.84353788627777
4,35,3.89699732809095
1,74.25,4.5298631641781
2,60.0833333333333,6.46054924692726
3,45.4166666666667,4.86289722344372
1,74.4166666666667,4.44645103131188
4,36,4.72934890387114
3,44.5,7.99282544502057
2,55.5833333333333,4.11299067060463
4,34.8333333333333,2.36461245769169
1,73.9166666666667,3.08079123590142
1,64.6666666666667,40.8642093129456
3,29.6666666666667,8.70946917991387
2,49.9166666666667,5.06229653587798
4,24.25,4.42969399288995
1,59.8333333333333,18.6336382111767
4,30.0833333333333,11.972168240638
3,40.1666666666667,4.06332454591757
